id,zanr
105285,Tactics
261338,Platformer
261338,2D
261338,Action
168045,Sports
168045,Traditional
168045,Team
168045,Baseball
168045,Sim
527285,Role-Playing
527285,Action RPG
101698,Action
101698,Platformer
101698,3D
161090,Simulation
161090,Sci-Fi
161090,Small Spaceship
531049,Role-Playing
531049,Action RPG
511009,Role-Playing
511009,Action RPG
497418,Puzzle
497418,Action
497418,General
252875,Shooter
252875,Scrolling
252875,Action
252875,General
252875,Shoot-'Em-Up
252875,Vertical
106191,Driving
106191,Racing
106191,Arcade
101976,Sports
101976,Alternative
101976,Individual
101976,Skateboarding
101976,Skate / Skateboard
161216,Sports
161216,Traditional
161216,Basketball
161216,Sim
101768,Sports
101768,Traditional
101768,Football
101768,Sim
160885,Action
160885,Shooter
160885,First-Person
160885,Sci-Fi
101126,Action Adventure
101126,Sci-Fi
101126,General
160616,Action
160616,Platformer
160616,3D
161247,Action
161247,Shooter
161247,Rail
112733,Action
112733,Shooter
112733,First-Person
112733,Sci-Fi
112733,Arcade
110593,Action
110593,Shooter
110593,First-Person
110593,Sci-Fi
110593,Arcade
252898,Action
252898,Platformer
252898,2D
113782,Action
113782,Platformer
113782,2D
104348,Action
104348,Shooter
104348,First-Person
104348,Sci-Fi
104348,Arcade
112010,Role-Playing
112010,Console-style RPG
506460,Action Adventure
506460,General
113658,Sports
113658,Traditional
113658,Team
113658,Baseball
113658,Sim
160632,Action
160632,General
237781,Platformer
237781,2D
237781,Action
510919,Action
510919,Platformer
510919,2D
162340,Sports
162340,Traditional
162340,Baseball
162340,Sim
163160,Sports
163160,Alternative
163160,Skateboarding
101468,Strategy
101468,Turn-Based
101468,Historic
101468,4X
161132,Sports
161132,Traditional
161132,Football
161132,Sim
161963,Action
161963,Fighting
161963,Wrestling
146666,Action
146666,Platformer
146666,2D
548015,Action
548015,Platformer
548015,2D
205374,Adventure
205374,Text
205374,Action
205374,Platformer
205374,2D
103605,Simulation
103605,Submarine
103605,Marine
103605,Combat
508947,Action Adventure
508947,Linear
143102,Action Adventure
143102,Historic
143102,Open-World
111293,Action Adventure
111293,Fantasy
111293,General
142914,Action
142914,Platformer
142914,2D
115596,Action Adventure
115596,Modern
115596,Open-World
127002,Action
127002,Shooter
127002,Third-Person
127002,Sci-Fi
127002,Arcade
161854,Strategy
161854,Real-Time
161854,Fantasy
214693,Fantasy
214693,Action Adventure
214693,General
497616,Sports
497616,Team
497616,Basketball
497616,Sim
161194,Sports
161194,Traditional
161194,Football
161194,Sim
160681,Role-Playing
160681,Console-style RPG
112732,Action
112732,Shooter
112732,Static
112732,Shoot-'Em-Up
112732,Top-Down
142825,Strategy
142825,Turn-Based
142825,Historic
142825,4X
172108,Action
172108,Platformer
172108,3D
417239,Driving
417239,Kart
417239,Racing
417239,Arcade
417239,Automobile
106325,Simulation
106325,Flight
106325,Modern Jet
106325,Combat
111447,Action
111447,Action Adventure
111447,Shooter
111447,Sci-Fi
111447,General
111447,First-Person
205249,Strategy
205249,Turn-Based
205249,General
205249,Sci-Fi
205249,Tactics
106817,Action
106817,Shooter
106817,First-Person
106817,Sci-Fi
106817,Arcade
511007,Role-Playing
511007,Action RPG
101585,Simulation
101585,Flight
101585,Civilian Plane
101585,Civilian
160630,Action
160630,Platformer
160630,3D
223990,Action Adventure
223990,Fantasy
223990,Linear
159676,General
159676,Fantasy
159676,MOBA
159676,Strategy
159676,Real-Time
162676,Sports
162676,Traditional
162676,Soccer
162676,Sim
101726,Action
101726,Shooter
101726,First-Person
101726,Sci-Fi
109852,General
109852,Role-Playing
109852,Massively Multiplayer Online
109852,Massively Multiplayer
109852,Fantasy
108199,Driving
108199,Racing
108199,Simulation
108199,GT / Street
108199,Automobile
492899,Adventure
492899,General
197438,Miscellaneous
197438,Puzzle
197438,Action
455527,Role-Playing
455527,Action RPG
182067,Miscellaneous
182067,Compilation
103973,Action
103973,Beat-'Em-Up
162375,Sports
162375,Traditional
162375,Football
162375,Sim
161527,Sports
161527,Traditional
161527,Golf
161527,Sim
101212,Role-Playing
101212,Action RPG
161218,Sports
161218,Traditional
161218,Basketball
161218,Sim
160957,Driving
160957,Racing
160957,Rally / Offroad
211189,Sports
211189,Traditional
211189,Team
211189,Soccer
211189,Sim
506876,Strategy
506876,Turn-Based
506876,General
506876,Tactics
184485,Action
184485,Platformer
184485,2D
107747,Driving
107747,Racing
107747,Simulation
107747,GT / Street
107747,Automobile
527296,Action Adventure
527296,General
552146,Action Adventure
552146,Open-World
209784,Sports
209784,Traditional
209784,Team
209784,Basketball
209784,Sim
112914,Action Adventure
112914,Modern
112914,Open-World
143179,Strategy
143179,Turn-Based
143179,Historic
143179,General
110954,Strategy
110954,Real-Time
110954,Historic
110954,General
233468,Action
233468,Platformer
233468,2D
526204,Action Adventure
526204,General
518892,Miscellaneous
518892,Compilation
268133,Adventure
268133,General
289923,Action
289923,Platformer
289923,2D
